Index	X	Y	Z	cost	equivalent_radius	branch_id	vadose_flag
108	414.0440063477	370.1270141602	282.1250000000	0.0398898125	0.0000000000	9.0000000000	1.0000000000
108	398.1669921875	379.8510131836	282.3210144043	0.2612867355	0.0000000000	9.0000000000	1.0000000000
109	398.1669921875	379.8510131836	282.3210144043	0.2612867355	0.0000000000	9.0000000000	1.0000000000
109	390.5520019531	384.9140014648	286.0169982910	0.1361131668	0.0000000000	9.0000000000	1.0000000000
110	390.5520019531	384.9140014648	286.0169982910	0.1361131668	0.0000000000	9.0000000000	1.0000000000
110	388.5270080566	386.5310058594	288.6279907227	0.0482726097	0.0000000000	9.0000000000	1.0000000000
111	388.5270080566	386.5310058594	288.6279907227	0.0482726097	0.0000000000	9.0000000000	1.0000000000
111	381.1759948730	390.2439880371	293.0960083008	0.1522560120	0.0000000000	9.0000000000	1.0000000000
112	381.1759948730	390.2439880371	293.0960083008	0.1522560120	0.0000000000	9.0000000000	1.0000000000
112	376.3819885254	393.0100097656	299.5150146484	0.1294903755	0.0000000000	9.0000000000	1.0000000000
113	376.3819885254	393.0100097656	299.5150146484	0.1294903755	0.0000000000	9.0000000000	1.0000000000
113	369.9370117188	396.1510009766	306.9649963379	0.1615319252	0.0000000000	9.0000000000	1.0000000000
114	369.9370117188	396.1510009766	306.9649963379	0.1615319252	0.0000000000	9.0000000000	1.0000000000
114	363.0710144043	399.2569885254	316.8919982910	0.1882228851	0.0000000000	9.0000000000	1.0000000000
115	363.0710144043	399.2569885254	316.8919982910	0.1882228851	0.0000000000	9.0000000000	1.0000000000
115	357.6629943848	402.2239990234	326.4760131836	0.1686592102	0.0000000000	9.0000000000	1.0000000000
116	357.6629943848	402.2239990234	326.4760131836	0.1686592102	0.0000000000	9.0000000000	1.0000000000
116	351.7869873047	406.7269897461	334.6879882812	0.1710462570	0.0000000000	9.0000000000	1.0000000000
117	351.7869873047	406.7269897461	334.6879882812	0.1710462570	0.0000000000	9.0000000000	1.0000000000
117	348.6260070801	409.2630004883	340.0650024414	0.1015887260	0.0000000000	9.0000000000	1.0000000000
118	348.6260070801	409.2630004883	340.0650024414	0.1015887260	0.0000000000	9.0000000000	1.0000000000
118	344.8609924316	411.0119934082	345.6170043945	0.1044874191	0.0000000000	9.0000000000	1.0000000000
119	344.8609924316	411.0119934082	345.6170043945	0.1044874191	0.0000000000	9.0000000000	1.0000000000
119	339.0289916992	417.0750122070	352.4450073242	0.1759793758	0.0000000000	9.0000000000	1.0000000000
120	339.0289916992	417.0750122070	352.4450073242	0.1759793758	0.0000000000	9.0000000000	1.0000000000
