Index	X	Y	Z
636	20.532	334.523	62.623
637	152.272	90.397	61.7483
638	128.216	67.6479	48.8428
639	98.3116	73.5981	36.9646
640	84.0178	75.2288	45.7061
641	104.989	126.824	62.6257
642	114.868	93.2321	35.4473
643	163.648	389.805	0.441233
644	174.619	403.77	25.3558
645	190.057	412.121	11.6572
646	197.379	380.689	21.4091
647	45.4364	267.155	0.0957427
648	132.48	343.5	82.0456
649	157.83	287.805	90.0381
650	295.121	102.727	21.2053
651	299.445	152.306	19.3463
652	321.705	177.227	2.64014
653	290.755	128.79	17.5661
654	163.952	439.695	94.7029
655	167.61	466.268	76.6229
656	136.874	445.05	93.7898
657	95.4503	337.565	98.066
658	81.4897	346.927	90.693
659	121.076	343.901	100.36
660	276.403	88.8235	17.6052
661	229.116	95.4028	35.5292
662	186.974	245.129	23.2425
663	268.035	210.44	1.47525
664	102.604	116.593	97.3024
665	138.345	143.305	99.6507
666	120.145	97.8959	91.6299
667	118.303	166.342	101.232
668	125.027	68.8748	1.10691
669	105.407	56.8144	3.76657
670	329.543	206.561	37.3956
671	345.718	236.515	31.5877
672	330.874	258.365	31.2295
673	300.506	205.78	27.9747
674	275.523	70.7443	43.4559
675	269.563	94.5365	70.6324
676	301.32	99.5826	7.38347
677	264.878	98.3701	1.4971
678	25.4534	389.769	83.5448
679	6.70117	463.294	54.5353
680	4.06095	443.891	47.403
681	9.46565	454.757	67.3846
682	4.14495	421.53	70.1442
683	198.958	248.26	62.8468
684	215.27	133.12	57.9414
685	322.557	93.1431	42.2103
686	333.478	131.742	20.7863
687	331.67	158.927	49.364
688	315.654	151.231	38.7575
689	310.869	121.787	27.7517
690	185.627	273.814	96.0476
691	159.609	247.874	85.8986
692	181.673	273.951	83.7875
693	339.347	105.55	35.132
694	95.0448	282.983	72.0138
695	103.788	38.1145	18.2825
696	109.209	60.6084	23.6969
697	145.278	35.9537	6.91477
698	17.1237	354.222	77.0243
699	66.4492	376.25	64.406
700	264.456	245.815	25.6333
701	288.773	279.016	40.8603
702	274.051	271.213	33.4035
703	286.25	296.424	25.5472
704	302.952	225.216	44.3081
705	313.409	247.779	38.1964
706	72.8319	263.487	73.8814
707	84.9794	228.685	62.35
708	42.0106	117.791	1.76725
709	78.3516	72.1852	12.5938
710	45.96	79.9086	4.02152
711	112.927	363.739	93.3911
712	164.863	345.556	101.948
713	141.341	381.264	100.242
714	143.399	339.282	114.588
715	87.0031	334.615	109.453
716	153.431	367.757	91.9541
717	140.862	316.704	105.322
718	137.188	369.719	114.881
719	6.86358	438.976	35.346
720	36.4685	429.122	37.0004
721	14.3081	449.511	25.4907
722	44.0778	362.295	81.4795
723	34.957	417.283	78.6511
724	28.9182	355.838	94.1738
725	125.301	403.261	91.1803
726	93.0376	389.918	81.515
727	126.692	370.358	81.0768
728	59.6791	251.677	51.3225
729	51.7652	287.269	65.3787
730	68.3094	38.4097	36.7891
731	167.696	96.8571	28.2169
732	155.328	93.0941	48.8168
733	3.59049	418.177	55.4422
734	52.397	511.984	42.3622
735	84.2191	503.151	48.7063
736	241.079	73.9582	33.3256
737	309.62	68.328	55.426
738	276.766	111.5	43.3285
739	258.397	56.9867	56.8563
740	287.444	48.9689	37.3994
741	277.013	77.3896	63.3491
742	288.57	307.213	2.18269
743	82.7655	175.664	89.1796
744	133.162	39.8882	18.4624
745	72.0281	337.473	101.225
746	105.812	299.218	106.983
747	107.418	334.425	15.0487
748	332.221	279.996	37.0945
749	298.414	232.413	32.9254
750	272.556	208.785	75.0454
751	289.879	202.623	67.1071
752	168.568	309.415	13.5404
753	314.56	91.8734	76.9155
754	319.106	89.6417	62.2598
755	305.569	151.643	56.8316
756	0.85809	423.454	91.5315
757	31.7258	425.083	93.081
758	5.78946	370.476	96.7626
759	69.1382	272.05	94.4215
760	54.6294	288.615	83.2079
761	135.331	371.77	39.9958
762	162.922	395.308	45.6648
763	136.372	409.273	47.3343
764	129.343	386.39	71.7442
765	27.8101	307.587	42.7263
766	89.4754	281.102	59.2223
767	31.0461	277.713	62.8529
768	207.378	309.833	53.7479
769	219.594	327.588	57.8557
770	257.714	294.725	52.9011
771	185.347	296.268	61.7017
772	253.142	70.7343	5.85308
773	146.48	374.32	16.6608
774	218.125	272.529	79.8547
775	209.537	289.781	97.3327
776	204.793	288.975	71.4042
777	16.2637	21.9357	11.4361
778	253.32	134.163	81.6431
779	229.299	186.703	95.8504
780	206.673	281.249	56.5601
781	157.186	239.84	72.2206
782	288.29	74.8593	73.8231
783	306.818	60.8728	43.5453
784	285	47.851	49.5098
785	53.5093	324.3	58.5297
786	16.8891	326.162	73.1701
787	8.63167	360.081	67.5412
788	164.121	62.0043	17.5806
789	220.178	371.176	37.496
790	201.544	379.906	46.4217
791	212.337	356.681	64.6085
792	7.52479	271.529	64.0865
793	6.37163	298.615	75.657
794	37.7549	239.131	71.801
795	11.3973	249.128	58.7306
796	129.199	122.522	30.9531
797	179.859	99.032	49.8559
798	59.1605	415.76	68.7533
799	331.567	82.7413	25.8322
800	330.396	109.648	14.7662
801	61.5294	459.719	70.4288
802	304.06	363.07	18.9099
803	295.847	324.561	8.61633
804	295.158	325.577	29.3306
805	324.149	312.719	23.1857
806	312.634	47.2426	27.8499
807	327.83	27.3679	36.5665
808	301.747	96.3567	37.2406
809	210.509	198.863	74.6731
810	208.318	195.716	50.9831
811	205.279	30.2604	28.8864
812	38.7857	390.404	95.6936
813	52.0445	332.463	89.0311
814	59.5405	215.837	53.1292
815	254.785	241.494	89.3715
816	255.834	271.067	92.6045
817	279.808	237.538	89.5381
818	283.77	323.136	39.4359
819	263.016	207.874	54.8164
820	154.709	518.235	72.5994
821	129.814	453.721	48.4623
822	162.575	461.864	65.0831
823	63.8631	391.196	107.652
824	21.2181	420.313	107.041
825	100.988	329.829	77.165
826	230.54	39.2165	63.4625
827	249.008	63.75	74.4837
828	267.186	30.125	57.9709
829	239.758	45.4801	49.6632
830	236.377	217.215	96.377
831	195.978	236.463	106.659
832	199.568	212.253	105.387
833	239.615	215.414	116.044
834	269.895	238.758	100.603
835	232.621	239.002	113.504
836	68.0308	376.215	52.0028
837	103.116	369.636	64.0634
838	32.2568	173.994	91.842
839	13.8198	160.382	76.8608
840	6.27094	217.949	83.2003
841	11.1133	162.08	94.7079
842	30.3987	176.825	102.305
843	52.0473	174.906	98.0359
844	317.912	226.355	53.7078
845	10.8253	83.7393	13.8382
846	49.6793	207.807	86.3606
847	49.1962	201.138	112.878
848	53.3441	140.709	102.516
849	83.9459	218.609	75.5144
850	192.059	278.354	1.20962
851	313.758	192.699	46.0862
852	196.929	260.63	76.3482
853	109.123	366.549	111.189
854	114.659	340.201	89.1656
855	71.741	134.241	87.8795
856	55.0317	153.845	119.227
857	70.5573	127.096	108.258
858	85.9503	145.342	98.6431
859	33.4542	101.248	98.8302
860	59.1943	114.487	115.65
861	3.49774	424.844	25.7488
862	132.834	231.65	115.429
863	140.832	174.729	109.565
864	159.31	217.317	110.98
865	150.386	238.183	106.129
866	119.368	205.765	118.305
867	70.8096	318.806	72.5845
868	160.71	423.928	42.4676
869	148.651	431.589	53.7511
870	170.018	452.349	47.2953
871	147.803	458.235	32.7369
872	25.3039	117.446	80.2791
873	55.659	115.741	68.3681
874	253.183	347.588	71.4063
875	235.752	345.608	62.5615
876	216.78	370.837	83.2932
877	199.632	330.679	68.1231
878	237.97	389.178	56.1751
879	222.768	319.197	70.454
880	250.984	371.286	70.5428
881	56.6513	300.256	102.377
882	28.3018	315.552	83.9184
883	41.5933	142.84	90.4324
884	9.24967	190.268	92.7685
885	19.3316	267.078	52.5314
886	20.4706	319.138	52.953
887	115.735	163.078	118.119
888	149.713	165.476	95.1106
889	133.269	113.52	99.7629
890	103.978	74.4534	98.8133
891	90.0626	114.714	86.523
892	82.6036	84.364	101.996
893	117.847	128.787	109.534
